,name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit
103,I Wonder,84,7rbECVPkY5UODxoOUVKZnA,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385,243440,4,hit
104,all of me,80,2FoahzOSxJnalPA8aBUme3,0.653,0.805,5,-5.708,0,0.304,0.12,1.17e-05,0.842,0.791,159.947,198293,4,hit
105,Flashing Lights,86,5TRPicyLGbAF2LGBFbHGvO,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,237507,4,hit
106,Drowning (feat. Kodak Black),79,1f5cbQtDrykjarZVrShaDI,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014,209269,4,hit
107,We Don't Trust You,86,1pnDvUuAEd6z8bKEsbAjk1,0.779,0.508,6,-7.169,0,0.271,0.478,0.000439,0.243,0.346,124.091,226213,4,hit
116,PISTOL PACCIN,79,3ScMs95OaNlkrZuRe7gyYa,0.831,0.793,1,-4.127,1,0.369,0.0195,0.0,0.259,0.833,144.967,149449,4,hit
117,Moonlight,82,0JP9xo3adEtGSdUEISiszL,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4,hit
118,prove it,78,5wttBUDyaHAR5q9fYnN3YF,0.559,0.743,6,-5.418,0,0.167,0.38,0.0,0.23,0.263,133.897,207586,4,hit
119,You Broke My Heart,80,5Se32hEA9raeboZerywxka,0.465,0.7,10,-5.163,0,0.0893,0.203,0.0,0.299,0.276,120.854,230709,4,hit
120,Ghost Town,79,7vgTNTaEz3CsBZ1N4YQalM,0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378,271387,4,hit
121,Camelot,75,44sYqNBttbXNxya33FJ3Dj,0.787,0.713,7,-5.252,1,0.401,0.0849,0.0,0.717,0.761,175.046,148759,4,hit
122,Lovin On Me,93,4xhsWYTOGcal8zt0J161CU,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,138411,4,hit
123,FE!N (feat. Playboi Carti),92,42VsgItocQwOQC3XWZ8JNA,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,191701,4,hit
124,Us Vs. Them,76,3cmdqMDc0Fj4TgPeyDOYTM,0.651,0.906,6,-4.454,1,0.172,0.046,0.214,0.895,0.509,77.978,184633,4,hit
125,LOT OF ME,80,2ZXxRC6V6AXzMdbLQZMHSB,0.704,0.537,0,-8.565,1,0.302,0.223,0.0,0.122,0.7,77.444,123871,4,hit
126,ONE CALL,86,69phA1R4gmQsBFRQ3INW8C,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,121399,4,hit
127,Lean Wit Me,79,3oDkdAySo1VQQG0ptV7uwa,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,175755,4,hit
128,Mo Bamba,78,1xzBco0xcoJEDXktl7Jxrr,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4,hit
129,Riot,77,4aOOExMBUyxKnEYb39SrTg,0.509,0.542,3,-8.027,0,0.442,0.019,0.00639,0.23,0.151,97.767,78681,4,hit
130,X,53,6PkUg8l0hIXFaiGOi5XRok,0.763,0.76,1,-6.044,0,0.0877,0.0112,1.2e-06,0.0907,0.421,141.999,129704,4,flop
146,X,59,4HIKcEKSijQLW5YNLsdLzt,0.492,0.948,0,-3.549,1,0.0525,0.00118,0.00641,0.295,0.523,90.569,118160,4,flop
195,Babylon (feat. Kendrick Lamar),59,6Aj2H0Z0v0JgnSfPEwCgW0,0.51,0.71,5,-6.891,0,0.113,0.629,0.0,0.0607,0.367,131.891,234285,4,flop
199,Julia,57,3oUSdLtRYOSvXcLMrHctv7,0.666,0.688,0,-7.071,1,0.031,0.00866,9e-06,0.0964,0.433,111.02,219643,4,flop
203,Sweet November,59,7swGurTfZlwx7mTOE8PpIc,0.478,0.551,0,-7.079,0,0.0354,0.532,0.0154,0.288,0.481,108.849,243744,4,flop
228,Sugar,75,31RTFPrB7wmYBhlkM2ILXG,0.451,0.889,1,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,153800,4,hit
229,Drive,79,7nnWIPM5hwE3DaUBkvOIpy,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453,4,hit
230,Break Stuff,82,5cZqsjVs6MevCnAkasbEOX,0.432,0.884,8,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948,166707,4,hit
231,Tongue Tied,81,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4,hit
232,Bad Moon Rising,83,20OFwXhEXf12DzwXmaV7fj,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,141600,4,hit
233,Coming Undone,77,3o7TMr6RmIusYH7Kkg7ujR,0.687,0.677,2,-4.172,1,0.0508,0.000643,0.000137,0.0564,0.545,75.052,199773,4,hit
234,Misery Business,76,6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,211520,4,hit
235,Mr. Brightside,86,003vvx7Niy0yvhvHt4a68B,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973,4,hit
236,Chop Suey!,85,2DlHlPMa4M17kufBvI2lEN,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,210240,4,hit
237,Riot,70,1Q2fYlSdwuutWj3QplhY9q,0.185,0.948,8,-3.892,1,0.147,0.0104,0.0,0.105,0.316,196.578,207587,3,hit
238,Panama - 2015 Remaster,74,05RgAMGypEvqhNs5hPCbMS,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,4,hit
239,Basket Case,82,6L89mwZXSOwYl76YXfX13s,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533,4,hit
240,Fortunate Son,86,4BP3uh0hFLFRb5cjsgLqDh,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4,hit
241,How You Remind Me,85,0gmbgwZ8iqyMPmXefof8Yf,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,223840,4,hit
242,"Rocket Man (I Think It's Going To Be A Long, Long Time)",82,3gdewACMIVMEWVbyb8O9sY,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613,4,hit
243,Livin' On A Prayer,86,37ZJ0p5Jm13JPevGcx4SkF,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293,4,hit
244,Maneater,83,7j74lucZ59vqN67Ipe2ZcY,0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,273173,4,hit
245,Making Plans For Nigel,58,1XT5kxg6Tk0ukCO2vBQN4v,0.632,0.893,7,-6.04,1,0.0455,0.0143,5.24e-06,0.0741,0.773,149.97,253800,4,flop
1,Everybody Wants To Rule The World,88,4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4,hit
2,Pumped Up Kicks,86,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4,hit
3,Why,70,1xLs8Mu1QEVbGCpyHQ2r2U,0.684,0.856,6,-2.676,1,0.0411,0.342,0.00728,0.109,0.343,117.027,139907,4,hit
4,Suicide Blonde,52,3DPyS3odFIWQ3E2IFqHEdG,0.644,0.97,2,-3.166,1,0.111,0.00274,0.000234,0.295,0.634,120.328,232010,4,flop
8,XO,51,4u2JQ1rzBirJVn6Ka2aQ5l,0.482,0.963,11,-3.161,0,0.0743,0.000633,0.0,0.0959,0.423,131.333,220653,4,flop
9,Cool Cat - Remastered 2011,59,6Re2AwZUVlgBng04BZTauW,0.818,0.399,1,-9.927,0,0.111,0.308,0.00253,0.18,0.838,73.765,209107,4,flop
34,Afterglow,57,2U38XVprnVmJs5k46fMYyg,0.704,0.599,6,-7.349,1,0.0536,0.443,0.0,0.147,0.789,128.023,191008,4,flop
44,Los Angeles,48,3hgBGx3ShG9uCiJ3kvh8wm,0.608,0.791,7,-5.441,1,0.0306,0.0871,1.81e-06,0.0868,0.722,92.743,144821,4,flop
60,Xanadu,54,4zdspHPxpExPiU8RolxBUH,0.652,0.654,6,-7.679,1,0.0275,0.186,0.0,0.162,0.708,127.555,208507,4,flop
65,Waltz #2 (XO),59,5AMrnF761nziCWUfjBgRUI,0.633,0.49,10,-7.668,1,0.0255,0.395,6.92e-05,0.0886,0.66,132.178,280107,3,flop
66,Pepas,80,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4,hit
67,Es Por Ti,77,3b1IQflSLrgzYQPGFzI9cl,0.696,0.758,4,-6.076,1,0.0264,0.17,3.33e-05,0.189,0.859,129.943,250693,4,hit
68,"Lo Que Pasó, Pasó",80,26QKsGW4hMuwiEE1ftUMHe,0.819,0.741,8,-6.538,0,0.0412,0.104,0.0,0.283,0.84,97.014,210933,4,hit
69,Promiscuous,84,2gam98EZKrF9XuOkU13ApN,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,242293,4,hit
70,Ojitos Lindos,84,3k3NWokhRRkEPhCzPmV8TW,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,4,hit
71,Hola (feat. Fredo Bang),56,4Z36qGmcnzBtjh376uDK6B,0.862,0.534,9,-8.26,1,0.236,0.357,0.0,0.118,0.89,139.935,150589,4,flop
96,CONTIGO (with Tiësto),88,4UkUxO2WlKLc0Q1iEutGGh,0.846,0.545,5,-7.826,1,0.0736,0.178,6.23e-06,0.0989,0.268,122.029,192787,4,hit
97,HP,70,1LIqNVhaIgxXUt2eVoIQJ3,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436,4,hit
98,LOKERA,79,1aUq8rjW1EwkAkMri4VfJy,0.836,0.826,11,-2.66,0,0.0461,0.213,6.03e-06,0.0814,0.579,102.025,197101,4,hit
103,CLASSY 101,83,1hZsWUnLbqRw09jLAMQSsb,0.858,0.665,11,-4.772,1,0.152,0.126,0.0,0.119,0.659,100.09,195587,4,hit
104,OKI DOKI,76,4gJfPoMIcSDGY0tMGxm6Fu,0.843,0.728,2,-4.207,0,0.0552,0.202,0.000219,0.313,0.581,106.015,143790,4,hit
105,Roll in Peace (feat. XXXTENTACION),73,40oKW22ZNNkEdZLJTScaQI,0.747,0.524,10,-6.807,0,0.245,0.0306,0.0,0.2,0.363,140.053,213132,4,hit
106,Ex-Special,71,4ix1NGkHZEiVyzoQ6cEVs3,0.782,0.747,10,-3.408,0,0.0473,0.0356,0.0,0.174,0.644,119.993,229627,4,hit
107,Obsesion,77,65H6t1WQBim6q93yM8fEwn,0.804,0.56,1,-6.912,0,0.0397,0.416,0.0,0.0608,0.768,133.682,254720,4,hit
108,EL HECHIZO,71,1mF6RkY7x1KsDBZS6cV5f1,0.664,0.529,2,-6.149,1,0.0392,0.539,5.28e-05,0.0697,0.439,148.12,167988,4,hit
109,Jordan,80,6y8z28epOv5FlaxDv1Lo5B,0.796,0.68,10,-5.555,0,0.37,0.0575,0.000683,0.103,0.71,179.923,176143,4,hit
110,Zun Da Da,69,6DxS2ZRl8G3EagHkovYXA2,0.782,0.767,9,-7.981,0,0.0871,0.266,3.64e-05,0.0947,0.622,88.005,304091,4,hit
111,Callaita,74,2TH65lNHgvLxCKXM3apjxI,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4,hit
112,UN PESO,77,7hynhxDoDpgMIV12JuVtNa,0.627,0.675,5,-7.125,0,0.213,0.125,0.0,0.0784,0.961,79.31,277107,4,hit
113,PROVENZA,82,3HqcNJdZ2seoGxhn0wVNDK,0.87,0.517,1,-7.918,1,0.0475,0.576,0.00553,0.11,0.54,111.002,207627,4,hit
114,ZEZE (feat. Travis Scott & Offset),51,0BkvZes677Mcp5WVUQjRxD,0.863,0.627,8,-5.708,0,0.206,0.0485,2.72e-06,0.0968,0.47,98.042,229088,4,flop
115,Sub Zero,53,4jgO513C5r4qFnJnzRWTjj,0.722,0.65,7,-8.091,1,0.269,0.0164,0.0,0.191,0.682,157.958,107933,4,flop
119,Chaos And Earthquakes,49,4j7jkCdab3vYmw0suZnt0X,0.525,0.843,10,-5.579,0,0.0537,0.000421,0.11,0.375,0.189,85.992,225133,4,flop
128,Hero,59,24Gxm7Eh7tO83E26LG0CsY,0.581,0.651,7,-5.617,1,0.0392,0.143,1.05e-05,0.107,0.146,151.959,264600,4,flop
129,wiggy,54,1jwXn7H1UDANmEvw6bfDr6,0.853,0.791,4,-5.137,1,0.266,0.0442,0.0,0.0759,0.718,93.048,144516,4,flop
133,Non Believer,43,2ERQ7C42e86cTRuGvcIdbt,0.567,0.597,0,-5.02,1,0.524,0.101,0.0,0.753,0.451,70.743,207337,3,flop
137,ID,57,6rGa59Ibh8CnTRxpftnB53,0.687,0.731,1,-3.911,0,0.166,0.0558,6.44e-05,0.0751,0.665,119.712,235525,5,flop
138,Wiggy,56,6EBZUvwV9xe93KYexS7GJl,0.846,0.666,0,-6.675,1,0.179,0.000344,0.000862,0.148,0.128,96.086,275107,4,flop
142,Blue Zone,58,1Er25HUjQ73Iqc70QfmZPU,0.796,0.712,10,-4.47,0,0.0541,0.0424,0.00032,0.455,0.478,94.97,211093,4,flop
143,If I Ain't Got You,82,3XVBdLihbNbxUwZosxcGuJ,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,228707,3,hit
144,Get Low,75,0r2Bul2NuCViraT2zX1l5j,0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019,334067,4,hit
145,Kiss Kiss (feat. T-Pain),72,3wKKkGVn7cVSfgPeYYIiXG,0.729,0.658,10,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,250667,3,hit
146,Often,80,4PhsKqMdgMEUSstTDAmMpg,0.572,0.631,7,-9.836,0,0.0476,0.222,0.0,0.135,0.0713,134.078,249040,4,hit
147,"Paint It, Black",84,63T7DJ1AFDD6Bn8VzG6JE8,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,202267,4,hit
148,Dandelions,88,2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,3,hit
149,TEXAS HOLD 'EM,85,7wLShogStyDeZvL0a6daN5,0.727,0.711,2,-6.549,1,0.078,0.582,0.0,0.158,0.375,110.012,233457,4,hit
150,Bottoms Up (feat. Nicki Minaj),72,4AYX69oFP3UOS1CFmV9UfO,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989,242013,4,hit
151,Love Never Felt So Good,71,48td6xvpokdYwvbl3JIiXP,0.775,0.719,7,-6.212,0,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246027,4,hit
152,No One,76,0mZ5GyrHG908lqrHaTw4hi,0.641,0.552,1,-5.423,0,0.0283,0.027,4.63e-06,0.148,0.152,90.098,254524,4,hit
153,Ghost in the Machine (feat. Phoebe Bridgers),77,4h5x3XHLVYFJaItKuO2rhy,0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,218587,4,hit
154,Best Time,83,1zgHn1EqUyA0HqNYMdJ5ia,0.806,0.342,9,-7.503,1,0.075,0.201,0.0176,0.0758,0.937,92.985,82581,4,hit
155,Hurts Me,80,0RBw4ODUQPO4cuAOZtBGga,0.553,0.786,8,-5.477,0,0.0325,0.0438,0.0,0.119,0.673,149.968,140801,4,hit
156,Exchange,81,43PuMrRfbyyuz4QpZ3oAwN,0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,194613,4,hit
157,Prize,58,4mpROZ2Z2chgoh7TPywPWU,0.591,0.534,8,-5.331,1,0.0968,0.0429,0.0,0.15,0.205,162.671,168214,4,flop
158,Normal Girl,76,5fQBa4wkmq28xpSLOQ202K,0.624,0.532,0,-7.146,1,0.124,0.269,5.17e-05,0.158,0.362,76.453,253587,4,hit
162,Escapism.,82,5mHdCZtVyb4DcJw8799hZp,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,272373,4,hit
163,ALLIIGATOR TEARS,80,1LSWDkZxVngIpfjvMs6Q56,0.618,0.651,2,-9.662,1,0.0822,0.202,0.0,0.237,0.656,74.548,179398,4,hit
164,Goodies (feat. Petey Pablo),70,3dFwpxh2yH7C7p9BGEKLVB,0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,223000,4,hit
165,8TEEN,74,5bgwqaRSS3M8WHWruHgSL5,0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03,228600,4,hit
166,She Knows,69,7seTcUFOhn5caSDbiSfsp0,0.706,0.572,8,-5.799,0,0.0326,0.0262,0.0,0.585,0.574,139.982,214726,4,hit
167,TEXAS HOLD 'EM,54,3zCROj8XdpFAOAguvP3BkD,0.729,0.721,2,-6.558,1,0.0726,0.573,0.0,0.148,0.387,109.997,233457,4,flop
168,Warm Winds (feat. Isaiah Rashad),56,0Kz9aGVgFvndWkcaiylIt5,0.387,0.505,7,-8.579,1,0.247,0.259,0.000133,0.564,0.158,84.942,350912,4,flop
169,BODYGUARD,56,0gpo3AJPcY5TtDqN5z26J6,0.727,0.778,4,-5.423,0,0.0559,0.0134,0.000197,0.365,0.561,119.037,240254,4,flop
170,DOLLY P,52,1fp4DIjhHyptQWK00CZgFQ,0.873,0.363,4,-14.204,1,0.221,0.565,0.0,0.464,0.945,106.167,22623,4,flop
171,FLAMENCO,53,3tmrwNhOKNDMUVg1Z924Aq,0.498,0.351,7,-9.248,0,0.0274,0.764,1.5e-06,0.136,0.492,105.024,100365,4,flop
172,Gen-X Cops,56,0UqpCnZlv5X2IJf9OOR5fh,0.522,0.837,5,-5.213,1,0.0463,0.01,0.00411,0.157,0.345,167.954,227747,4,flop
173,MY ROSE,56,7EG3kXbKmNC1OismTn6ZG5,0.384,0.177,2,-11.755,0,0.0418,0.771,0.0,0.0943,0.59,175.953,53443,3,flop
174,JUST FOR FUN,55,51D9PHMiMxuRGtGz61F4QN,0.466,0.434,9,-8.559,1,0.0382,0.549,1.3e-05,0.18,0.127,72.403,204487,4,flop
175,II HANDS II HEAVEN,54,2g042sh2sg0fmOrr1lApqi,0.674,0.602,7,-7.866,1,0.224,0.539,1.69e-06,0.0906,0.533,123.945,341312,4,flop
176,X,47,5pwcZWC7XdfoPo8FDwPaui,0.555,0.727,11,-5.93,0,0.0833,0.0936,0.0,0.0841,0.31,147.865,260573,4,flop
177,The Zone,59,53qYItjefG5SUf62428dIw,0.654,0.383,3,-9.875,0,0.0363,0.129,0.000755,0.103,0.268,139.95,418057,4,flop
178,LEVII'S JEANS,56,5XaMpO5ZgSjJ2hll1CWF9C,0.75,0.443,1,-7.461,1,0.0373,0.364,5.56e-06,0.121,0.293,115.948,257699,4,flop
179,Garage Rooftop,50,5m4HdQxM81GHtLhyQjEPkh,0.476,0.525,11,-8.418,0,0.0825,0.151,0.00124,0.0853,0.313,104.973,264911,4,flop
6,X,47,18GqdVFpV86qp8abHKHaWw,0.769,0.455,7,-10.198,1,0.323,0.159,0.0014,0.0829,0.576,184.584,145333,3,flop
7,La Danza,68,2FEUloDXMvRnyfLcsrCfkw,0.797,0.88,6,-5.722,0,0.0442,0.00298,0.574,0.183,0.357,125.996,157619,4,hit
8,Thank You (Not So Bad),87,09CnYHiZ5jGT1wr1TXJ9Zt,0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,140000,4,hit
12,BOOM,66,6iC7vapdKp0XlKhxOkp8QJ,0.886,0.84,2,-3.386,1,0.0502,0.0164,0.00622,0.329,0.203,123.035,179512,4,hit
13,Leave Me Like This,57,6NRvZuFXn2ixp8YdzUvG5n,0.671,0.84,1,-8.199,1,0.0581,0.00113,0.473,0.109,0.233,124.977,188571,4,flop
14,Waiting For Love,81,2P4OICZRVAQcYAV2JReRfj,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,230613,4,hit
15,Don't You Worry Child - Radio Edit,81,2V65y3PX4DkRhy1djlxd9p,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,212862,4,hit
16,Leave Before You Love Me (with Jonas Brothers),82,4qu63nuBpdn0qHUHuObEj1,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,4,hit
17,Esta Vida,68,5OSGdSxtulzlzdPdK2MQJC,0.755,0.676,5,-7.349,1,0.0377,0.0418,0.00176,0.204,0.461,123.98,209136,4,hit
18,Million Voices - Radio Edit,69,0MOiv7WTXCqvm89lVCf9C8,0.582,0.894,8,-6.298,1,0.041,0.0022,0.0223,0.0664,0.0694,125.946,192867,4,hit
19,The Business,76,6f3Slt0GbA2bPZlz0aIFXN,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,164000,4,hit
20,In the Name of Love,79,23L5CiUhw2jV1OIMwthR3S,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,195707,4,hit
21,El Merengue,79,51FvjPEGKq2zByeeEQ43V9,0.775,0.677,8,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011,189357,4,hit
22,I'm Good (Blue),89,4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238,4,hit
23,Without You (feat. Usher),65,1tAutlhI9FwnKn7fVgmd5P,0.608,0.614,2,-3.727,1,0.0285,0.227,3.82e-06,0.157,0.402,127.885,208133,4,hit
27,Clarity,75,60wwxj6Dd9NJlirf84wr2c,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,4,hit
28,Memories (feat. Kid Cudi),68,4dTaAiV9xFFCxnPur9c9yL,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,210093,4,hit
32,One Kiss (with Dua Lipa),85,7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4,hit
33,One Thing Right,72,4hPpVbbakQNv8YTHYaOJP4,0.659,0.625,4,-2.253,1,0.045,0.0644,0.0,0.582,0.442,88.042,181824,4,hit
34,My Kind of Woman,81,6jgkEbmQ2F2onEqsEhiliL,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,190846,4,hit
